Molecola1,Molecola2, GlobalComparison
HOTAIR,CRW2_GIII_B_1_nH.db,-60.28297119757453
HOTAIR,CRW2_GIII_B_2_nH.db,-68.46153846153847
HOTAIR,CRW2_GIII_B_3_nH.db,-59.29621848739496
HOTAIR,CRW2_GIII_E_10_nH.db,-0.30349013657056145
HOTAIR,CRW2_GIII_E_11_nH.db,-69.09576497520031
HOTAIR,CRW2_GIII_E_12_nH.db,-55.36585365853659
HOTAIR,CRW2_GIII_E_13_nH.db,-70.9783803591059
HOTAIR,CRW2_GIII_E_14_nH.db,-49.72527472527472
HOTAIR,CRW2_GIII_E_16_nH.db,-21.600877192982455
HOTAIR,CRW2_GIII_E_17_nH.db,-32.208293153326906
HOTAIR,CRW2_GIII_E_19_nH.db,-37.59656652360515
HOTAIR,CRW2_GIII_E_20_nH.db,0.14367816091954022
HOTAIR,CRW2_GIII_E_21_nH.db,-7.922077922077922
HOTAIR,CRW2_GIII_E_22_nH.db,-4.743083003952569
HOTAIR,CRW2_GIII_E_23_nH.db,2.9139072847682117
HOTAIR,CRW2_GIII_E_24_nH.db,-26.262626262626263
HOTAIR,CRW2_GIII_E_25_nH.db,0.847457627118644
HOTAIR,CRW2_GIII_E_26_nH.db,-64.40758293838863
HOTAIR,CRW2_GIII_E_27_nH.db,-59.935379644588046
HOTAIR,CRW2_GIII_E_28_nH.db,-17.142857142857142
HOTAIR,CRW2_GIII_E_29_nH.db,-68.22958771220695
HOTAIR,CRW2_GIII_E_30_nH.db,-36.15771812080537
HOTAIR,CRW2_GIII_E_31_nH.db,-18.08080808080808
HOTAIR,CRW2_GIII_E_32_nH.db,-66.51639344262296
HOTAIR,CRW2_GIII_E_33_nH.db,-20.505050505050505
HOTAIR,CRW2_GIII_E_35_nH.db,23.36
HOTAIR,CRW2_GIII_E_4_nH.db,-7.564102564102564
HOTAIR,CRW2_GIII_E_5_nH.db,-6.495263870094723
HOTAIR,CRW2_GIII_E_6_nH.db,5.815831987075929
HOTAIR,CRW2_GIII_E_7_nH.db,-7.645631067961165
HOTAIR,CRW2_GIII_E_8_nH.db,-4.7927461139896375
HOTAIR,CRW2_GIII_E_9_nH.db,-72.09658873131468
HOTAIR,SRPdb_SRP_131_nH.db,20.67669172932331
HOTAIR,SRPdb_SRP_233_nH.db,20.112781954887218
HOTAIR,SRPdb_SRP_244_nH.db,20.67669172932331
HOTAIR,SRPdb_SRP_41_nH.db,20.86466165413534
HOTAIR,SRPdb_SRP_517_nH.db,20.86466165413534
HOTAIR,SRPdb_SRP_674_nH.db,20.112781954887218
HOTAIR,SRPdb_SRP_701_nH.db,21.05263157894737
HOTAIR,SRPdb_SRP_714_nH.db,20.112781954887218
HOTAIR,SRPdb_SRP_78_nH.db,21.428571428571427
HOTAIR,SRPdb_SRP_821_nH.db,19.736842105263158
HOTAIR,SRPdb_SRP_873_nH.db,26.641651031894934
HOTAIR,SRPdb_SRP_95_nH.db,26.26641651031895
HOTAIR,tmRNAdb_tmRNA_194_nH.db,-59.5679012345679
HOTAIR,tmRNAdb_tmRNA_254_nH.db,-65.06024096385542
HOTAIR,tmRNAdb_tmRNA_25_nH.db,-65.13899323816679
HOTAIR,tmRNAdb_tmRNA_594_nH.db,-64.46280991735537
HOTAIR,tmRNAdb_tmRNA_691_nH.db,-64.68820435762585
